MA,FA,Cs,Pb,Sn,Br,Cl,I,Bandgap,HOMO,LUMO,Light source,Illuminance (lux),PCE,Voc,Jsc(?A cm-2),FF
0.85,0,0.15,1,0,0,0,1,1.59,0.5,0.29,FL,2000,22.84,0.855,209.04,0.8
0.85,0,0.15,1,0,0.15,0,0.85,1.66,0.53,0.33,FL,200,24.92,0.84,24.54,0.75
0.85,0,0.15,1,0,0.15,0,0.85,1.66,0.53,0.33,FL,500,25.69,0.874,58.16,0.78
0.85,0,0.15,1,0,0.15,0,0.85,1.66,0.53,0.33,FL,600,25.1,0.879,69.8,0.79
0.85,0,0.15,1,0,0.15,0,0.85,1.66,0.53,0.33,FL,1000,26.38,0.899,118.46,0.8
0.85,0,0.15,1,0,0.15,0,0.85,1.66,0.53,0.33,FL,1500,26.16,0.916,164.54,0.8
0.85,0,0.15,1,0,0.15,0,0.85,1.66,0.53,0.33,FL,2000,25.42,0.936,221.75,0.8
0.85,0,0.15,1,0,0.25,0,0.75,1.71,0.56,0.35,FL,200,24.92,0.84,24.54,0.75
0.85,0,0.15,1,0,0.25,0,0.75,1.71,0.56,0.35,FL,500,25.69,0.874,58.16,0.78
0.85,0,0.15,1,0,0.25,0,0.75,1.71,0.56,0.35,FL,600,25.1,0.879,69.8,0.79
0.85,0,0.15,1,0,0.25,0,0.75,1.71,0.56,0.35,FL,1000,26.38,0.899,118.46,0.8
0.85,0,0.15,1,0,0.25,0,0.75,1.71,0.56,0.35,FL,1500,26.16,0.916,164.54,0.8
0.85,0,0.15,1,0,0.25,0,0.75,1.71,0.56,0.35,FL,2000,25.42,0.936,221.75,0.8
0.85,0,0.15,1,0,0.35,0,0.65,1.78,0.61,0.37,FL,200,22.26,0.868,23.8,0.73
0.85,0,0.15,1,0,0.35,0,0.65,1.78,0.61,0.37,FL,500,22.16,0.895,55.05,0.76
0.85,0,0.15,1,0,0.35,0,0.65,1.78,0.61,0.37,FL,600,22.14,0.905,62.25,0.76
0.85,0,0.15,1,0,0.35,0,0.65,1.78,0.61,0.37,FL,1000,22.88,0.915,110,0.77
0.85,0,0.15,1,0,0.35,0,0.65,1.78,0.61,0.37,FL,1500,21.98,0.94,158.65,0.76
0.85,0,0.15,1,0,0.35,0,0.65,1.78,0.61,0.37,FL,2000,22.05,0.945,208.4,0.76
0.85,0,0.15,1,0,0.25,0,0.75,1.71,0.56,0.35,LED,200,22.03,0.834,23.37,0.78
